2019-06-02 06:04:37 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   1,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 300.0; Tile: START
2019-06-02 06:04:37 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   2,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 299.0; Tile: ROAD
2019-06-02 06:04:37 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   2,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 299.0; Tile: ROAD
2019-06-02 06:04:37 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   1,1; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 298.0; Tile: START
2019-06-02 06:04:37 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,2; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 297.0; Tile: ROAD
2019-06-02 06:04:37 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,3; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 296.0; Tile: ROAD
2019-06-02 06:04:37 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,4; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 295.0; Tile: ROAD
2019-06-02 06:04:37 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 294.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   1,6; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 293.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   2,6; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 292.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   3,6; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 291.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   3,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 290.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   4,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 289.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   5,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 288.0; Tile: ROAD
2019-06-02 06:04:38 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   6,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 287.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   7,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 286.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   8,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 285.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   9,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 284.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  10,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 283.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  11,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 282.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  12,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 281.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  13,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 280.0; Tile: ROAD
2019-06-02 06:04:39 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  14,5; Parcels:      0; Health: 300.0; Health Usage: 300.0; Fuel: 279.0; Tile: ROAD
